,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
760,0.623333333333,0.524333333333,0.8412499999970585,0.312,1.19,22.133333333299998,0.00207333333333,0.9976666666670001,0.05116666666669999,4.81e-06,0.594333333333,0.0798666666666,1.0279701174,1.0231320280848024
203,0.3335,0.34683333333300004,1.0400650502654996,0.166666666667,1.07566666667,5.07916666667,0.000909583333333,0.5683333333330001,2.207,0.00042510000000000003,0.5379999999999999,4.24333333334,1.0739615731999999,1.095748298672309
926,0.34142857142899996,0.371285714286,1.0834143968870986,0.17071428571400002,1.0637142857100002,6.0417142857099995,0.001018,0.590142857143,2.56457142857,0.000467457142857,0.532,4.63285714286,1.0852492507200002,1.094449054431849
1262,1.3417857142899998,0.8140000000000001,0.6067398119126061,0.6707500000000001,1.6478571428600002,3.10107142857,0.00013661428571399998,0.9947857142859999,0.011832500000000001,5.22107142857e-07,0.824035714286,0.01972607142853,1.1668193429,1.1606897321292822
571,0.497285714286,0.26257142857099997,0.5279945707494061,0.248714285714,1.8942857142900003,0.629285714286,7.47714285714e-05,0.969857142857,0.0225,2.68e-06,0.9472857142860001,0.0369685714286,1.0210401840799999,1.017023031962655
1,0.347756097561,0.258682926829,0.743662087014045,0.17385365853699997,1.3443902439,0.98943902439,0.000166268292683,0.960146341463,0.0396536585366,6.6612195122e-06,0.6724390243899999,0.09237073170730001,1.0203377197399999,1.026833085087031
822,0.40009090909100004,0.393454545455,0.9838774687627215,0.199909090909,1.0163636363600002,201.636363636,0.0298181818182,1.0,0.024102727272700002,3.54454545455e-06,0.5081818181819999,0.0322272727273,1.02043579983,1.021335968170546
335,0.28,0.29596774193500003,1.0586163354817142,0.139980645161,1.0562903225799998,3.2634516129000004,0.000611741935484,0.725225806452,1.21618709677,0.000217619354839,0.5280967741939999,4.10161290323,1.08780554347,1.0652126299917024
12,1.2266666666700001,0.8667291666670001,0.7066653322662824,0.613270833333,1.4166666666699999,107.166666667,0.005152291666669999,0.999875,0.0321220833333,1.54977083333e-06,0.708041666667,0.255149375,1.15174344023,1.1904320155511148
823,0.330272727273,0.354,1.0708802874416599,0.16518181818199998,1.0268181818200002,4.49754545455,0.000825636363636,0.670454545455,1.7533636363599998,0.000345054545455,0.513909090909,4.03909090909,1.0737344371600002,1.0761724102098555
318,1.21,0.8140000000000001,0.672473867595122,0.605142857143,1.4871428571399998,100.571428571,0.004902857142859999,0.9998571428569999,0.035214285714300006,1.67642857143e-06,0.743714285714,0.0437285714286,1.18952982624,1.1548956413769653
